Video,Frame,SIM,CC,NSS,Recall,Area_Pct
161259087-0_4489.mp4,590,0.2858,0.3051,1.0635,0.3786,0.1276
161302186-1936_3125.mp4,0,0.3733,0.6465,2.8616,0.952,0.1362
161302186-1936_3125.mp4,147,0.3486,0.5985,2.6321,0.8417,0.1271
161302186-1936_3125.mp4,295,0.2497,0.2852,1.3307,0.4428,0.1138
161302186-1936_3125.mp4,442,0.234,0.2759,1.0815,0.3441,0.0998
161302186-1936_3125.mp4,590,0.2188,0.4698,2.6462,0.9111,0.1442
161939272-0_528.mp4,0,0.3101,0.4756,1.9769,0.6125,0.1121
161939272-0_528.mp4,147,0.3447,0.5242,1.9172,0.6446,0.1122
161939272-0_528.mp4,295,0.3476,0.4496,1.5087,0.4,0.0874
161939272-0_528.mp4,442,0.3273,0.4189,1.4589,0.4589,0.0937
161939272-0_528.mp4,590,0.286,0.3594,1.2739,0.5143,0.1327
162475513-0_1680.mp4,0,0.3866,0.4949,1.5052,0.4965,0.122
162475513-0_1680.mp4,147,0.3079,0.2732,0.7509,0.3562,0.1291
162475513-0_1680.mp4,295,0.3342,0.467,1.6548,0.5294,0.1069
162475513-0_1680.mp4,442,0.2858,0.2751,1.0113,0.3607,0.1045
162475513-0_1680.mp4,590,0.3359,0.4293,1.5558,0.4925,0.0888
166154377-1523_3167.mp4,0,0.4172,0.7749,3.2714,0.9722,0.0779
166154377-1523_3167.mp4,147,0.4,0.6291,1.9935,0.6307,0.0842
166154377-1523_3167.mp4,295,0.2274,0.1418,0.4819,0.1449,0.0703
166154377-1523_3167.mp4,442,0.3502,0.4945,1.7718,0.5311,0.0925
166154377-1523_3167.mp4,590,0.397,0.4517,1.4864,0.5631,0.1132
166392933-3960_5039.mp4,0,0.2446,0.2135,0.5686,0.2192,0.1043
166392933-3960_5039.mp4,147,0.2465,0.1813,0.5813,0.2432,0.1111
166392933-3960_5039.mp4,295,0.1644,0.0577,0.2248,0.0751,0.1057
166392933-3960_5039.mp4,442,0.1944,0.1491,0.4835,0.2523,0.1165
166392933-3960_5039.mp4,590,0.2781,0.3423,1.1489,0.6019,0.1183
166392933-5040_6225.mp4,0,0.2378,0.1776,0.399,0.1677,0.1099
166392933-5040_6225.mp4,147,0.2096,0.0821,0.0853,0.0693,0.1331
166392933-5040_6225.mp4,295,0.2422,0.1358,0.2925,0.107,0.1018
166392933-5040_6225.mp4,442,0.2892,0.2259,0.5771,0.2289,0.1298
166392933-5040_6225.mp4,590,0.1592,0.0396,0.0514,0.0583,0.0839
166883190-3580_6095.mp4,0,0.2573,0.4656,2.545,0.6642,0.0601
166883190-3580_6095.mp4,147,0.2231,0.3093,1.1233,0.1679,0.0665
166883190-3580_6095.mp4,295,0.1812,0.2088,1.0498,0.098,0.0661
166883190-3580_6095.mp4,442,0.2072,0.238,1.0324,0.2069,0.066
166883190-3580_6095.mp4,590,0.1935,0.2819,1.2034,0.159,0.0633
167109050-0_720.mp4,0,0.2949,0.3705,1.3207,0.4633,0.1049
167109050-0_720.mp4,147,0.5015,0.698,2.2739,0.7473,0.1231
167109050-0_720.mp4,295,0.3941,0.5868,2.1773,0.7399,0.1126
167109050-0_720.mp4,442,0.4223,0.6041,3.1161,0.7343,0.0627
